LISTING: red steel led strip, size 10 | BRAND: Ostrell | REGION: CA -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: white leather led strip, size 7 | BRAND: Solvex | REGION: US -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: red rubber lock pick set, size 4 | BRAND: Jovita | REGION: US -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: grey canvas trail shoes, size 6 | BRAND: Duxton | REGION: EU -> CATEGORY: Athletic Footwear | VERDICT: allowed
LISTING: blue cotton laser pointer, size 4 | BRAND: Jovita | REGION: EU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: orange steel cat tree, size 10 | BRAND: Nordbay | REGION: UK -> CATEGORY: Pet Supplies | VERDICT: allowed
LISTING: green aluminum running shoes, size 3 | BRAND: Mavano | REGION: UK -> CATEGORY: Athletic Footwear | VERDICT: allowed
LISTING: red leather running shoes, size 8 | BRAND: Ostrell | REGION: CA -> CATEGORY: Athletic Footwear | VERDICT: allowed
LISTING: green nylon duffel bag, size 4 | BRAND: Krendal | REGION: AU -> CATEGORY: Bags & Luggage | VERDICT: allowed
LISTING: grey leather running shoes, size 12 | BRAND: Jovita | REGION: UK -> CATEGORY: Athletic Footwear | VERDICT: allowed
LISTING: red aluminum floor lamp, size 11 | BRAND: Fenwick | REGION: US -> CATEGORY: Home Lighting | VERDICT: allowed
LISTING: green nylon power bank, size 4 | BRAND: Lorvex | REGION: CA -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: blue silicone vape pen, size 4 | BRAND: Corvale | REGION: CA -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: blue nylon cordless drill, size 6 | BRAND: Vestra | REGION: CA -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: red rubber dumbbell set, size 3 | BRAND: Grohler | REGION: UK -> CATEGORY: Fitness Gear | VERDICT: allowed
LISTING: blue steel circular saw, size 10 | BRAND: Lorvex | REGION: EU -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: black cotton desk lamp, size 10 | BRAND: PawHaven | REGION: AU -> CATEGORY: Home Lighting | VERDICT: flagged
LISTING: green aluminum charging cable, size 7 | BRAND: Grohler | REGION: CA -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: white aluminum charging cable, size 8 | BRAND: Krendal | REGION: CA -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: grey aluminum angle grinder, size 5 | BRAND: PawHaven | REGION: UK -> CATEGORY: Power Tools | VERDICT: flagged
LISTING: white canvas phone case, size 8 | BRAND: Grohler | REGION: AU -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: black leather stun gun, size 1 | BRAND: Ostrell | REGION: CA -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: blue rubber heat gun, size 8 | BRAND: Luminara | REGION: CA -> CATEGORY: Power Tools | VERDICT: flagged
LISTING: grey rubber charging cable, size 3 | BRAND: Vestra | REGION: CA -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: red leather phone case, size 9 | BRAND: TrailKing | REGION: US -> CATEGORY: Phone Accessories | VERDICT: flagged
LISTING: orange rubber work gloves, size 8 | BRAND: VoltEdge | REGION: AU -> CATEGORY: Safety Gloves | VERDICT: flagged
LISTING: white cotton duffel bag, size 8 | BRAND: Rendale | REGION: AU -> CATEGORY: Bags & Luggage | VERDICT: allowed
LISTING: grey steel dumbbell set, size 12 | BRAND: Corvale | REGION: EU -> CATEGORY: Fitness Gear | VERDICT: allowed
LISTING: green aluminum vape pen, size 6 | BRAND: Ironmark | REGION: US -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: green leather stun gun, size 11 | BRAND: Grohler | REGION: US -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: white silicone duffel bag, size 7 | BRAND: Solvex | REGION: UK -> CATEGORY: Bags & Luggage | VERDICT: allowed
LISTING: green rubber toaster, size 5 | BRAND: Ostrell | REGION: EU -> CATEGORY: Kitchen Appliances | VERDICT: allowed
LISTING: grey cotton lock pick set, size 9 | BRAND: Vestra | REGION: US -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: grey silicone resistance bands, size 11 | BRAND: Mavano | REGION: UK -> CATEGORY: Fitness Gear | VERDICT: allowed
LISTING: yellow canvas duffel bag, size 8 | BRAND: Adera | REGION: US -> CATEGORY: Bags & Luggage | VERDICT: allowed
LISTING: grey canvas trail shoes, size 11 | BRAND: VoltEdge | REGION: US -> CATEGORY: Athletic Footwear | VERDICT: flagged
LISTING: black silicone cordless drill, size 9 | BRAND: Quorra | REGION: CA -> CATEGORY: Power Tools | VERDICT: allowed
LISTING: yellow nylon charging cable, size 6 | BRAND: Nordbay | REGION: AU -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: grey steel phone case, size 2 | BRAND: Solvex | REGION: EU -> CATEGORY: Phone Accessories | VERDICT: allowed
LISTING: green cotton trail shoes, size 7 | BRAND: Ironmark | REGION: UK -> CATEGORY: Athletic Footwear | VERDICT: allowed
LISTING: black silicone yoga mat, size 4 | BRAND: Mavano | REGION: AU -> CATEGORY: Fitness Gear | VERDICT: allowed
LISTING: orange cotton laser pointer, size 1 | BRAND: Mavano | REGION: AU -> CATEGORY: Restricted Items | VERDICT: flagged
LISTING: white silicone suitcase, size 6 | BRAND: Pinevale | REGION: UK -> CATEGORY: Bags & Luggage | VERDICT: allowed
LISTING: black silicone toaster, size 8 | BRAND: Quorra | REGION: US -> CATEGORY: Kitchen Appliances | VERDICT: allowed
